t		x	y	z	Vx	Vy	Vz		x	y	z	Vx	Vy	Vz
6120		-229999502.7	-279999697.5	-69999797.57	0.164386285	0.099623294	0.067241592		83019581.25	-92472589.16	59879546.58	486.6386796	-408.0973832	794.5346021
6180		-229999492.9	-279999691.5	-69999793.54	0.166005767	0.100593511	0.067913555		83048779.57	-92497075	59927218.65	486.5070482	-408.1762425	794.479985
6240		-229999482.9	-279999685.5	-69999789.46	0.167625399	0.101563602	0.068585764		83077969.99	-92521565.57	59974887.45	486.3754044	-408.2550915	794.4253478
6300		-229999472.8	-279999679.4	-69999785.35	0.169245182	0.102533566	0.06925822		83107152.51	-92546060.88	60022552.97	486.2437484	-408.3339302	794.3706906
6360		-229999462.7	-279999673.2	-69999781.19	0.170865116	0.103503404	0.069930922		83136327.14	-92570560.92	60070215.21	486.1120802	-408.4127586	794.3160133
6420		-229999452.4	-279999667	-69999777	0.172485201	0.104473114	0.070603872		83165493.86	-92595065.68	60117874.18	485.9803996	-408.4915767	794.261316
6480		-229999442.1	-279999660.7	-69999772.76	0.174105436	0.105442698	0.071277067		83194652.69	-92619575.18	60165529.85	485.8487068	-408.5703845	794.2065986
6540		-229999431.6	-279999654.4	-69999768.48	0.175725823	0.106412155	0.071950509		83223803.61	-92644089.4	60213182.25	485.7170018	-408.649182	794.1518612
6600		-229999421.1	-279999648	-69999764.17	0.17734636	0.107381485	0.072624198		83252946.63	-92668608.35	60260831.36	485.5852845	-408.7279691	794.0971038
6660		-229999410.5	-279999641.6	-69999759.81	0.178967048	0.108350688	0.073298133		83282081.75	-92693132.03	60308477.19	485.4535549	-408.806746	794.0423264
6720		-229999399.7	-279999635.1	-69999755.41	0.180587887	0.109319764	0.073972315		83311208.96	-92717660.43	60356119.73	485.3218131	-408.8855125	793.9875289
6780		-229999388.9	-279999628.5	-69999750.97	0.182208877	0.110288714	0.074646743		83340328.27	-92742193.56	60403758.98	485.1900591	-408.9642687	793.9327113
6840		-229999377.9	-279999621.9	-69999746.49	0.183830017	0.111257536	0.075321418		83369439.67	-92766731.42	60451394.94	485.0582928	-409.0430146	793.8778738
6900		-229999366.9	-279999615.2	-69999741.97	0.185451307	0.112226231	0.075996339		83398543.17	-92791274	60499027.61	484.9265143	-409.1217502	793.8230162
6960		-229999355.8	-279999608.5	-69999737.41	0.187072748	0.1131948	0.076671506		83427638.76	-92815821.31	60546657	484.7947235	-409.2004754	793.7681385
7020		-229999344.6	-279999601.7	-69999732.81	0.18869434	0.114163241	0.07734692		83456726.44	-92840373.33	60594283.08	484.6629205	-409.2791904	793.7132409
7080		-229999333.2	-279999594.9	-69999728.17	0.190316082	0.115131555	0.07802258		83485806.22	-92864930.09	60641905.88	484.5311053	-409.357895	793.6583232
7140		-229999321.8	-279999587.9	-69999723.49	0.191937974	0.116099742	0.078698487		83514878.09	-92889491.56	60689525.38	484.3992778	-409.4365892	793.6033855
7200		-229999310.3	-279999581	-69999718.77	0.193560017	0.117067802	0.07937464		83543942.04	-92914057.75	60737141.58	484.2674382	-409.5152732	793.5484278
7260		-229999298.7	-279999574	-69999714.01	0.19518221	0.118035735	0.080051039		83572998.09	-92938628.67	60784754.49	484.1355863	-409.5939468	793.4934501
7320		-229999287	-279999566.9	-69999709.2	0.196804553	0.119003541	0.080727684		83602046.22	-92963204.31	60832364.09	484.0037222	-409.6726101	793.4384523
7380		-229999275.2	-279999559.7	-69999704.36	0.198427047	0.11997122	0.081404576		83631086.45	-92987784.66	60879970.4	483.8718459	-409.751263	793.3834345
7440		-229999263.3	-279999552.5	-69999699.48	0.20004969	0.120938771	0.082081714		83660118.76	-93012369.74	60927573.41	483.7399574	-409.8299056	793.3283967
7500		-229999251.3	-279999545.3	-69999694.55	0.201672484	0.121906195	0.082759099		83689143.16	-93036959.53	60975173.11	483.6080567	-409.9085378	793.2733389
7560		-229999239.2	-279999538	-69999689.59	0.203295428	0.122873492	0.08343673		83718159.64	-93061554.05	61022769.51	483.4761438	-409.9871597	793.2182611
7620		-229999227	-279999530.6	-69999684.58	0.204918522	0.123840661	0.084114606		83747168.21	-93086153.28	61070362.61	483.3442186	-410.0657713	793.1631632
7680		-229999214.7	-279999523.2	-69999679.53	0.206541766	0.124807704	0.084792729		83776168.86	-93110757.22	61117952.4	483.2122813	-410.1443725	793.1080453
7740		-229999202.3	-279999515.7	-69999674.44	0.20816516	0.125774619	0.085471099		83805161.6	-93135365.88	61165538.88	483.0803318	-410.2229634	793.0529075
7800		-229999189.8	-279999508.1	-69999669.32	0.209788704	0.126741406	0.086149714		83834146.42	-93159979.26	61213122.05	482.9483702	-410.3015439	792.9977496
7860		-229999177.2	-279999500.5	-69999664.15	0.211412398	0.127708066	0.086828576		83863123.32	-93184597.36	61260701.92	482.8163963	-410.380114	792.9425717
7920		-229999164.5	-279999492.9	-69999658.94	0.213036242	0.128674599	0.087507684		83892092.3	-93209220.16	61308278.47	482.6844102	-410.4586739	792.8873738
7980		-229999151.7	-279999485.1	-69999653.69	0.214660235	0.129641005	0.088187037		83921053.37	-93233847.68	61355851.71	482.552412	-410.5372233	792.8321559
8040		-229999138.9	-279999477.4	-69999648.4	0.216284379	0.130607283	0.088866637		83950006.51	-93258479.92	61403421.64	482.4204016	-410.6157624	792.776918
8100		-229999125.9	-279999469.5	-69999643.06	0.217908672	0.131573433	0.089546483		83978951.74	-93283116.86	61450988.26	482.2883791	-410.6942911	792.7216601
